"cas"	"cluster"
"535"	"33401-94-4"	11
"536"	"44992-01-0"	12
"537"	"6577-41-9"	12
"538"	"63-75-2"	12
"539"	"52-49-3"	12
"540"	"112-12-9"	12
"541"	"401788-99-6"	12
"542"	"62-51-1"	12
"543"	"4752-10-7"	12
"544"	"60-31-1"	12
"545"	"102-06-7"	12
"546"	"51-83-2"	12
"547"	"122320-73-4"	12
"548"	"123122-55-4"	12
"549"	"17321-77-6"	13
"550"	"60812-23-9"	13
"551"	"106516-24-9"	13
"552"	"116666-63-8"	13
"553"	"291305-06-1"	13
"554"	"50-52-2"	13
"555"	"169293-50-9"	13
"556"	"361343-19-3"	13
"557"	"53772-82-0"	13
"558"	"1541-67-9"	13
"559"	"13636-18-5"	13
"560"	"10347-81-6"	13
"561"	"78-41-1"	13
"562"	"51773-92-3"	13
"563"	"440-17-5"	13
"564"	"69-09-0"	13
"565"	"81-88-9"	14
"566"	"35691-65-7"	14
"567"	"1062243-51-9"	14
"568"	"55-56-1"	14
"569"	"911-45-5"	14
"570"	"50679-08-8"	14
"571"	"553-08-2"	14
"572"	"90729-43-4"	14
"573"	"1841-19-6"	14
"574"	"112-02-7"	14
"575"	"198481-33-3"	14
"576"	"64706-54-3"	14
"577"	"147228-81-7"	14
"578"	"341031-54-7"	14
"579"	"515-03-7"	14
"580"	"NOCAS_47342"	14
"581"	"1565-94-2"	15
"582"	"26027-38-3"	15
"583"	"119446-68-3"	15
"584"	"973-21-7"	15
"585"	"133-07-3"	15
"586"	"92-55-7"	15
"587"	"81995-09-7"	15
"588"	"905-97-5"	15
"589"	"4638-48-6"	15
"590"	"105624-86-0"	15
"591"	"133-06-2"	15
"592"	"475207-59-1"	15
"593"	"159989-65-8"	15
"594"	"3055-99-0"	15
"595"	"101-72-4"	15
"596"	"131807-57-3"	15
"597"	"131-89-5"	15
"598"	"93-05-0"	15
"599"	"125225-28-7"	15
"600"	"54029-45-7"	15
"601"	"149845-06-7"	15
"602"	"84878-61-5"	15
"603"	"156052-68-5"	15
"604"	"135080-03-4"	15
"605"	"112-00-5"	15
"606"	"1119-94-4"	15
"607"	"55406-53-6"	15
"608"	"54527-84-3"	15
"609"	"485-31-4"	15
"610"	"2312-35-8"	15
"611"	"119168-77-3"	15
"612"	"17230-88-5"	16
"613"	"302-22-7"	16
"614"	"1239-29-8"	16
"615"	"57-83-0"	16
"616"	"595-33-5"	16
"617"	"427-51-0"	16
"618"	"850-52-2"	16
"619"	"63-05-8"	17
"620"	"107868-30-4"	17
"621"	"87-82-1"	17
"622"	"68-96-2"	17
"623"	"33765-68-3"	17
"624"	"152-62-5"	17
"625"	"13647-35-3"	17
"626"	"33342-05-1"	17
"627"	"67392-87-4"	17
"628"	"53-06-5"	17
"629"	"91296-86-5"	17
"630"	"NOCAS_49498"	17
"631"	"NOCAS_49499"	17
"632"	"NOCAS_49500"	17
"633"	"NOCAS_49504"	17
"634"	"NOCAS_49505"	17
"635"	"NOCAS_49552"	17
"636"	"NOCAS_49556"	17
"637"	"NOCAS_49557"	17
"638"	"566-48-3"	17
"639"	"1247-42-3"	17
"640"	"976-71-6"	17
"641"	"56-47-3"	17
"642"	"152-58-9"	17
"643"	"53-03-2"	17
"644"	"76-43-7"	17
"645"	"864283-48-7"	17
"646"	"64-85-7"	17
"647"	"503-30-0"	18
"648"	"33996-33-7"	18
"649"	"88069-67-4"	18
"650"	"201677-61-4"	18
"651"	"22457-89-2"	18
"652"	"32887-01-7"	18
"653"	"141-32-2"	18
"654"	"51-36-5"	18
"655"	"75-69-4"	18
"656"	"106463-17-6"	18
"657"	"102-01-2"	18
"658"	"110871-86-8"	18
"659"	"646-14-0"	18
"660"	"298-46-4"	18
"661"	"75-27-4"	18
"662"	"11042-64-1"	18
"663"	"57018-52-7"	18
"664"	"78-42-2"	18
"665"	"142-82-5"	18
"666"	"15826-37-6"	18
"667"	"50-04-4"	18
"668"	"2495-25-2"	18
"669"	"592-41-6"	18
"670"	"108-65-6"	18
"671"	"15707-23-0"	18
"672"	"1405-86-3"	18
"673"	"533-31-3"	18
"674"	"23182-46-9"	18
"675"	"872-90-2"	18
"676"	"2610-86-8"	18
"677"	"123447-62-1"	18
"678"	"50-45-3"	18
"679"	"113617-63-3"	18
"680"	"96-13-9"	18
"681"	"634-90-2"	18
"682"	"120-57-0"	18
"683"	"67-72-1"	18
"684"	"101-39-3"	18
"685"	"595-37-9"	18
"686"	"547-44-4"	18
"687"	"638-29-9"	18
"688"	"71320-77-9"	18
"689"	"110-02-1"	18
"690"	"79-29-8"	18
"691"	"118-90-1"	18
"692"	"3012-37-1"	19
"693"	"604-75-1"	19
"694"	"623-17-6"	19
"695"	"93-91-4"	19
"696"	"26172-55-4"	19
"697"	"7085-85-0"	19
"698"	"99-04-7"	19
"699"	"105-60-2"	19
"700"	"76-06-2"	19
"701"	"105628-07-7"	19
"702"	"132907-72-3"	19
"703"	"628-63-7"	19
"704"	"67-43-6"	19
"705"	"366-18-7"	19
"706"	"136-30-1"	19
"707"	"108-68-9"	19
"708"	"120-61-6"	19
"709"	"624-92-0"	19
"710"	"1508-76-5"	19
"711"	"57-13-6"	19
"712"	"NOCAS_47385"	19
"713"	"3759-92-0"	19
"714"	"230954-09-3"	19
"715"	"541-73-1"	19
"716"	"97612-24-3"	20
"717"	"318-98-9"	20
"718"	"5051-22-9"	20
"719"	"127308-98-9"	20
"720"	"137160-11-3"	20
"721"	"7558-73-8"	20
"722"	"19982-08-2"	20
"723"	"98769-84-7"	20
"724"	"77-23-6"	20
"725"	"132-69-4"	20
"726"	"135729-62-3"	20
"727"	"3563-01-7"	20
"728"	"54143-55-4"	20
"729"	"125-52-0"	20
"730"	"3598-37-6"	20
"731"	"50505-92-5"	20
"732"	"60719-82-6"	20
"733"	"125-79-1"	20
"734"	"50505-91-4"	20
"735"	"19216-56-9"	20
"736"	"207572-66-5"	20
"737"	"50-42-0"	20
"738"	"2058-52-8"	20
"739"	"3735-85-1"	20
"740"	"81409-90-7"	20
"741"	"33414-36-7"	20
"742"	"NOCAS_48509"	20
"743"	"129-77-1"	20
"744"	"31386-24-0"	20
"745"	"6119-47-7"	20
"746"	"968-61-6"	20
"747"	"2439-07-8"	20
"748"	"83905-01-5"	20
"749"	"50-60-2"	20
"750"	"98774-23-3"	20
"751"	"87151-85-7"	20
"752"	"67121-76-0"	20
"753"	"1229-29-4"	20
"754"	"56-18-8"	20
"755"	"132-18-3"	20
"756"	"61129-30-4"	20
"757"	"21221-18-1"	20
"758"	"143322-58-1"	20
"759"	"53757-34-9"	20
"760"	"15930-66-2"	20
"761"	"4272-74-6"	20
"762"	"2508-72-7"	20
"763"	"1934-71-0"	20
"764"	"511-45-5"	20
"765"	"54-30-8"	20
"766"	"17617-23-1"	20
"767"	"113-92-8"	20
"768"	"134-36-1"	20
"769"	"37561-27-6"	20
"770"	"59-58-5"	20
"771"	"443913-73-3"	20
"772"	"5486-77-1"	20
"773"	"23210-56-2"	20
"774"	"127625-29-0"	20
"775"	"54533-86-7"	20
"776"	"5786-68-5"	20
"777"	"132810-10-7"	20
"778"	"264618-44-2"	20
"779"	"24526-64-5"	20
"780"	"29705-96-2"	20
"781"	"909-39-7"	20
"782"	"1235-82-1"	20
"783"	"34580-13-7"	20
"784"	"2391-03-9"	20
"785"	"24916-51-6"	20
"786"	"68-88-2"	20
"787"	"49864-70-2"	20
"788"	"207801-27-2"	21
"789"	"596-51-0"	21
"790"	"198904-31-3"	21
"791"	"5987-82-6"	21
"792"	"668-94-0"	21
"793"	"556-52-5"	21
"794"	"154-93-8"	21
"795"	"145-63-1"	21
"796"	"502-54-5"	21
"797"	"3033-62-3"	21
"798"	"544-31-0"	21
"799"	"72-14-0"	21
"800"	"92623-83-1"	21
"801"	"115-02-6"	21
"802"	"31501-11-8"	21
"803"	"2627-69-2"	21
"804"	"87-25-2"	21
"805"	"30103-44-7"	21
"806"	"1459-93-4"	21
"807"	"118409-57-7"	21
"808"	"930-55-2"	21
"809"	"512-56-1"	21
"810"	"70356-09-1"	21
"811"	"14952-06-8"	21
"812"	"77337-73-6"	22
"813"	"839-90-7"	22
"814"	"35891-93-1"	22
"815"	"3165-93-3"	22
"816"	"1553-60-2"	22
"817"	"68515-75-3"	22
"818"	"67952-65-2"	22
"819"	"78-37-5"	22
