"","cas","cluster","inchikey","short_key","target_gene"
"391","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFB6"
"392","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","MT-ND4L"
"393","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","MT-ND4"
"394","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFB9"
"395","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFA4L2"
"396","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","MT-ND2"
"397","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFC2"
"398","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFS1"
"399","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFB3"
"400","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFS2"
"401","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFS4"
"402","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFAF2"
"403","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFA1"
"404","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFA13"
"405","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFAF4"
"406","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFB2"
"407","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFA11"
"408","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFB10"
"409","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFA7"
"410","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFA10"
"411","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFB8"
"412","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFA12"
"413","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFV2"
"414","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFA2"
"415","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFA3"
"416","1115-70-4",5,"XZWYZXLIPXDOLR-UHFFFAOYSA-N","XZWYZXLIPXDOLR","NDUFB4"
